Date,Open,High,Low,Close,Adj Close,Volume
7/11/2020,21446.51367,21682.41211,19872.14453,20437.79883,20437.79883,48257030966
8/11/2020,20437.79883,21545.25586,20314.28711,21243.35352,21243.35352,36548474902
9/11/2020,21243.39258,21639.62305,20429.05859,21065.49805,21065.49805,46918426051
10/11/2020,21065.54492,21206.21094,20811.7793,20998.79883,20998.79883,35121730078
11/11/2020,20998.80664,21869.48438,20998.71484,21558.42578,21558.42578,40878393728
12/11/2020,21558.37109,22526.66797,21347.35547,22484.79297,22484.79297,47211759607
13/11/2020,22484.92578,22791.45898,22061.17383,22444.63867,22444.63867,43464121899
14/11/2020,22444.63867,22444.63867,21662.52734,22101.22656,22101.22656,37800240358
15/11/2020,22101.22852,22176.83789,21722.78906,21883.11914,21883.11914,32441326697
16/11/2020,21883.10547,22982.50781,21794.25195,22837.66797,22837.66797,43072089319
17/11/2020,22796.10742,24343.69727,22625.44531,24186.54102,24186.54102,53466649150
18/11/2020,24186.24414,25216.35742,23722.79492,24387.87305,24387.87305,67208816226
19/11/2020,24387.67578,24940.63281,23921.40234,24516.12109,24516.12109,50891029333
20/11/2020,24516.11133,25663.30273,24407.27148,25498.87305,25498.87305,50655748015
21/11/2020,25498.875,25930.63477,25256.5625,25527.51758,25527.51758,54294540230
22/11/2020,25527.51758,25591.51563,24198.09961,25120.51953,25120.51953,56449961793
23/11/2020,25120.53906,25515.70703,24583.50781,25174.2168,25174.2168,58591098173
24/11/2020,25175.44141,26333.36523,24765.42969,25938.1543,25938.1543,69869316864
25/11/2020,25934.00586,26401.30469,25230.01953,25437.93945,25437.93945,59358009655
26/11/2020,25434.8418,25618.39844,22198.06641,23312.92773,23312.92773,83457025801
27/11/2020,23317.40039,23714.97461,22349.54102,23165.0332,23165.0332,52652897047
28/11/2020,23171.16992,24174.50195,22897.27734,23989.64648,23989.64648,44142298169
29/11/2020,23992.65039,24756.14258,23775.30859,24563.23242,24563.23242,42071317046
30/11/2020,24564.36719,26763.60938,24564.36719,26676.24023,26676.24023,64874507426
1/12/2020,26687.02539,27004.81641,24916.78711,25474.86523,25474.86523,67245169833
2/12/2020,25473.16602,26184.87695,24861.94727,25895.93555,25895.93555,50423665500
3/12/2020,25902.45508,26295.98438,25539.68359,26149.68555,26149.68555,42939092589
4/12/2020,26151.79492,26230.97656,25181.75391,25185.21875,25185.21875,45620009684
5/12/2020,25183.35938,25805.67578,25037.64453,25797.30078,25797.30078,36690683329
6/12/2020,25797.23438,26086,25452.0625,26035.14648,26035.14648,34040995700
7/12/2020,26032.4668,26128.18359,25479.34961,25880.89453,25880.89453,36271110130
8/12/2020,25880.75586,25975.38477,24646.35742,24728.67188,24728.67188,42776159672
9/12/2020,24728.32031,25061.62109,24082.79492,24958.96875,24958.96875,46302733320
10/12/2020,24958.14063,24958.14063,23867.25586,24276.23828,24276.23828,33955025607
11/12/2020,24274.82617,24248.48438,23401.91016,23969.87109,23969.87109,37058186194
12/12/2020,23959.80664,25112.22266,23952.79883,24958.39453,24958.39453,28872548540
13/12/2020,24962.52148,25727.32227,24866.37891,25354.85156,25354.85156,33710163728
14/12/2020,25357.64648,25614.54688,25248.02344,25541.75977,25541.75977,29824702947
15/12/2020,25542.125,25829.28125,25385.13867,25692.55859,25692.55859,35384830847
16/12/2020,25694.86328,28345.9082,25553.92383,28153.92188,28153.92188,58669766472
17/12/2020,28150.95313,31026.92578,28018.90039,29949.60742,29949.60742,93740238936
18/12/2020,29951.75586,30535.47461,29468.05078,30350.84961,30350.84961,52978176732
19/12/2020,30344.16602,31594.23633,29942.25977,31310.87109,31310.87109,50485423425
20/12/2020,31300.28906,31902.44922,30363.63867,30941.9707,30941.9707,49876914381
21/12/2020,30938.22852,31762.01563,29460.61328,30099.77148,30099.77148,60524986369
22/12/2020,30087.83594,31493.81055,29702.91992,31484.71094,31484.71094,58475776663
23/12/2020,31483.31445,31834.37109,30098.48828,30653.17188,30653.17188,67457030959
24/12/2020,30651.66797,31288.57031,29994.19922,31249.46875,31249.46875,54084709877
25/12/2020,31246.33594,32515.65234,30926.64844,32456.02734,32456.02734,55357171067
26/12/2020,32472.11523,35157.91016,32269.03906,34788.10156,34788.10156,63600205586
27/12/2020,34791.17578,37224.85938,34095.49219,34520.03516,34520.03516,87350128672
28/12/2020,34531.23828,36109.33984,34433.74609,35694.5,35694.5,64650851267
29/12/2020,35690.54688,35965.64453,34213.94141,35956.12891,35956.12891,59482577412
30/12/2020,35953.04688,37650.22656,35953.04688,37514.49609,37514.49609,66711474360
31/12/2020,37515.30078,38024.97656,36470.36328,37668.85547,37668.85547,60727639338
1/01/2021,37658.83984,38417.91406,37410.78906,38181.99219,38181.99219,52943282221
2/01/2021,38184.98438,43096.67969,37814.17188,41760.62891,41760.62891,88214867182
3/01/2021,41763.41016,44985.93359,41663.20313,42511.10547,42511.10547,1.02012E+11
4/01/2021,42548.61328,43360.96094,37133.98438,41686.38672,41686.38672,1.05825E+11
5/01/2021,41693.07422,44403.79297,39221.8125,43790.06641,43790.06641,87016490204
6/01/2021,43817.35938,47186.65234,43152.60156,47115.85547,47115.85547,96330948325
7/01/2021,47128.01953,51833.47656,46906.65234,50686.91016,50686.91016,1.09124E+11
8/01/2021,50700.71484,54022.53516,47472.14453,52531.94141,52531.94141,1.13449E+11
9/01/2021,52520.39063,53397.36719,50192.67188,51874.42578,51874.42578,79876511282
10/01/2021,51874,53376.54297,46359.46484,49680.67969,49680.67969,1.03594E+11
11/01/2021,49667.84375,49667.84375,39642.77734,46147.27344,46147.27344,1.60007E+11
12/01/2021,46082.01563,47345.92969,42417.97266,43627.19922,43627.19922,96163445201
13/01/2021,43617.11719,48616.5625,41959.50391,48171.94922,48171.94922,89542881048
14/01/2021,48183.24219,51495.47266,47598.78906,50399.72266,50399.72266,81817987949
15/01/2021,50360.34375,50879.16797,44978.23438,47808.45703,47808.45703,87970268397
16/01/2021,47803.63281,49157.33984,46259.33594,46966.31641,46966.31641,74913942275
17/01/2021,46947.50391,47646.25781,44322.34766,46578.83984,46578.83984,68141219153
18/01/2021,46580.08984,48632.30078,45403.9375,47664.66797,47664.66797,64426805716
19/01/2021,47680.48438,49001.21875,46762.01563,46762.01563,46762.01563,74213149597
20/01/2021,46736.48438,47167.33984,43379.13281,45841.45703,45841.45703,86188127850
21/01/2021,45843.57813,45838.67578,38973.37109,39724.33594,39724.33594,97479405896
22/01/2021,39713.93359,43826.41406,37348.05469,42772.56641,42772.56641,1.00054E+11
23/01/2021,42746.63672,43232.89063,40812.36328,41556.84375,41556.84375,62663485199
24/01/2021,41552.60938,42692.53516,40307.20313,41858.17578,41858.17578,63059186578
25/01/2021,41853.53516,45038.96094,41595.75391,41953.93359,41953.93359,77639700525
26/01/2021,41943.84766,42322.64453,40093.71094,42009.33984,42009.33984,77718828487
27/01/2021,42001.83594,42001.83594,38351.45703,39788.39453,39788.39453,81814673385
28/01/2021,39799.5,41815.61719,39303.26172,41259.75781,41259.75781,1.0292E+11
29/01/2021,44739.26172,49929.52344,41932.53516,44904.98438,44904.98438,1.54272E+11
30/01/2021,44878.21875,45583.23438,43104.14453,44843.65625,44843.65625,85241861209
31/01/2021,44845.42969,44868.26953,42227.14063,43453.62109,43453.62109,69226040775
1/02/2021,43453.91016,45380.875,42433.89453,43934.50781,43934.50781,80435998475
2/02/2021,43929.29688,47287.64453,43879.41797,46696.42188,46696.42188,82962183819
3/02/2021,46697.12109,49094.77344,46597.07031,49069.32813,49069.32813,80097336711
4/02/2021,49073.27344,50548.37891,47819.14063,48581.77734,48581.77734,90566812573
5/02/2021,48588.98828,50106.51563,48270.13281,49686.46875,49686.46875,76329372511
6/02/2021,49678.75781,53206.38672,49678.75781,51147.58984,51147.58984,92908720828
7/02/2021,51126.98438,51611.08594,48777.05859,50666.16797,50666.16797,85305218497
8/02/2021,50644.53125,59940.5,49610.82031,59930.8125,59930.8125,1.31634E+11
9/02/2021,59915.92969,62164.87109,58511.62891,60054.28516,60054.28516,1.1862E+11
